encoding,t1_time,t2_time,trial,accuracy,precision,recall,f1_score,execution_time,decoherence_impact,evaluation_type
amplitude,50,25,0,0.94425,0.9460867170525769,0.94425,0.940842099446511,0,,trained_classifier
amplitude,50,25,1,0.94425,0.9460867170525769,0.94425,0.940842099446511,0,,trained_classifier
amplitude,50,25,2,0.94425,0.9460867170525769,0.94425,0.940842099446511,0,,trained_classifier
angle,50,25,0,0.8865,0.9004042093901781,0.8865,0.8654768523397032,0,,trained_classifier
angle,50,25,1,0.8865,0.9004042093901781,0.8865,0.8654768523397032,0,,trained_classifier
angle,50,25,2,0.8865,0.9004042093901781,0.8865,0.8654768523397032,0,,trained_classifier
basis,50,25,0,0.813,0.6609689999999999,0.813,0.7291439602868175,0,,trained_classifier
basis,50,25,1,0.813,0.6609689999999999,0.813,0.7291439602868175,0,,trained_classifier
basis,50,25,2,0.813,0.6609689999999999,0.813,0.7291439602868175,0,,trained_classifier
amplitude,150,25,0,0.9195,0.925088202247191,0.9195,0.9108846915030122,0,,trained_classifier
amplitude,150,25,1,0.9195,0.925088202247191,0.9195,0.9108846915030122,0,,trained_classifier
amplitude,150,25,2,0.9195,0.925088202247191,0.9195,0.9108846915030122,0,,trained_classifier
angle,150,25,0,0.87625,0.8925980784627702,0.87625,0.8500285441091271,0,,trained_classifier
angle,150,25,1,0.87625,0.8925980784627702,0.87625,0.8500285441091271,0,,trained_classifier
angle,150,25,2,0.87625,0.8925980784627702,0.87625,0.8500285441091271,0,,trained_classifier
basis,150,25,0,0.813,0.6609689999999999,0.813,0.7291439602868175,0,,trained_classifier
basis,150,25,1,0.813,0.6609689999999999,0.813,0.7291439602868175,0,,trained_classifier
basis,150,25,2,0.813,0.6609689999999999,0.813,0.7291439602868175,0,,trained_classifier
amplitude,150,75,0,0.91675,0.9227291716031566,0.91675,0.9074145776859742,0,,trained_classifier
amplitude,150,75,1,0.91675,0.9227291716031566,0.91675,0.9074145776859742,0,,trained_classifier
amplitude,150,75,2,0.91675,0.9227291716031566,0.91675,0.9074145776859742,0,,trained_classifier
angle,150,75,0,0.87525,0.8918456411623567,0.87525,0.8484757602809857,0,,trained_classifier
angle,150,75,1,0.87525,0.8918456411623567,0.87525,0.8484757602809857,0,,trained_classifier
angle,150,75,2,0.87525,0.8918456411623567,0.87525,0.8484757602809857,0,,trained_classifier
basis,150,75,0,0.813,0.6609689999999999,0.813,0.7291439602868175,0,,trained_classifier
basis,150,75,1,0.813,0.6609689999999999,0.813,0.7291439602868175,0,,trained_classifier
basis,150,75,2,0.813,0.6609689999999999,0.813,0.7291439602868175,0,,trained_classifier
