encoding,noise_type,noise_level,trial,accuracy,precision,recall,f1_score,execution_time,evaluation_type
amplitude,depolarizing,0.0,0,0.89725,0.9087788697788698,0.89725,0.8808425802453093,17.302429,trained_classifier
amplitude,depolarizing,0.0,1,0.89725,0.9087788697788698,0.89725,0.8808425802453093,17.523125,trained_classifier
amplitude,depolarizing,0.0,2,0.89725,0.9087788697788698,0.89725,0.8808425802453093,17.552617,trained_classifier
angle,depolarizing,0.0,0,0.87225,0.8895979271857561,0.87225,0.843765721749261,21.603337,trained_classifier
angle,depolarizing,0.0,1,0.87225,0.8895979271857561,0.87225,0.843765721749261,21.579502,trained_classifier
angle,depolarizing,0.0,2,0.87225,0.8895979271857561,0.87225,0.843765721749261,21.880837,trained_classifier
basis,depolarizing,0.0,0,0.813,0.6609689999999999,0.813,0.7291439602868175,28.305125,trained_classifier
basis,depolarizing,0.0,1,0.813,0.6609689999999999,0.813,0.7291439602868175,28.233089,trained_classifier
basis,depolarizing,0.0,2,0.813,0.6609689999999999,0.813,0.7291439602868175,28.221744,trained_classifier
amplitude,depolarizing,0.001,0,0.9155,0.9216602190705331,0.9155,0.905824798910729,162.120758,trained_classifier
amplitude,depolarizing,0.001,1,0.9155,0.9216602190705331,0.9155,0.905824798910729,157.079698,trained_classifier
amplitude,depolarizing,0.001,2,0.9155,0.9216602190705331,0.9155,0.905824798910729,155.711329,trained_classifier
angle,depolarizing,0.001,0,0.87375,0.8907199893532073,0.87375,0.8461305365064004,32.982378,trained_classifier
angle,depolarizing,0.001,1,0.87375,0.8907199893532073,0.87375,0.8461305365064004,32.446973,trained_classifier
angle,depolarizing,0.001,2,0.87375,0.8907199893532073,0.87375,0.8461305365064004,32.450834,trained_classifier
basis,depolarizing,0.001,0,0.813,0.6609689999999999,0.813,0.7291439602868175,39.239453,trained_classifier
basis,depolarizing,0.001,1,0.813,0.6609689999999999,0.813,0.7291439602868175,38.920652,trained_classifier
basis,depolarizing,0.001,2,0.813,0.6609689999999999,0.813,0.7291439602868175,38.643766,trained_classifier
amplitude,depolarizing,0.01,0,0.96575,0.9654837148978304,0.96575,0.9650413705177341,155.538137,trained_classifier
amplitude,depolarizing,0.01,1,0.96575,0.9654837148978304,0.96575,0.9650413705177341,155.363131,trained_classifier
amplitude,depolarizing,0.01,2,0.96575,0.9654837148978304,0.96575,0.9650413705177341,154.018695,trained_classifier
angle,depolarizing,0.01,0,0.896,0.9077949836423119,0.896,0.879096381931064,31.975863,trained_classifier
angle,depolarizing,0.01,1,0.896,0.9077949836423119,0.896,0.879096381931064,31.702093,trained_classifier
angle,depolarizing,0.01,2,0.896,0.9077949836423119,0.896,0.879096381931064,31.865787,trained_classifier
basis,depolarizing,0.01,0,0.813,0.6609689999999999,0.813,0.7291439602868175,38.13249,trained_classifier
basis,depolarizing,0.01,1,0.813,0.6609689999999999,0.813,0.7291439602868175,38.08495,trained_classifier
basis,depolarizing,0.01,2,0.813,0.6609689999999999,0.813,0.7291439602868175,37.770814,trained_classifier
amplitude,depolarizing,0.05,0,0.32875,0.8537445383046898,0.32875,0.30831957798088944,153.005839,trained_classifier
amplitude,depolarizing,0.05,1,0.32875,0.8537445383046898,0.32875,0.30831957798088944,152.609675,trained_classifier
amplitude,depolarizing,0.05,2,0.32875,0.8537445383046898,0.32875,0.30831957798088944,152.965996,trained_classifier
angle,depolarizing,0.05,0,0.9025,0.9309420401086574,0.9025,0.9089180462796732,32.093641,trained_classifier
angle,depolarizing,0.05,1,0.9025,0.9309420401086574,0.9025,0.9089180462796732,31.824905,trained_classifier
angle,depolarizing,0.05,2,0.9025,0.9309420401086574,0.9025,0.9089180462796732,32.129488,trained_classifier
basis,depolarizing,0.05,0,0.813,0.6609689999999999,0.813,0.7291439602868175,38.026889,trained_classifier
basis,depolarizing,0.05,1,0.813,0.6609689999999999,0.813,0.7291439602868175,38.147255,trained_classifier
basis,depolarizing,0.05,2,0.813,0.6609689999999999,0.813,0.7291439602868175,37.941365,trained_classifier
amplitude,amplitude_damping,0.0,0,0.89725,0.9087788697788698,0.89725,0.8808425802453093,17.276563,trained_classifier
amplitude,amplitude_damping,0.0,1,0.89725,0.9087788697788698,0.89725,0.8808425802453093,17.295166,trained_classifier
amplitude,amplitude_damping,0.0,2,0.89725,0.9087788697788698,0.89725,0.8808425802453093,17.282795,trained_classifier
angle,amplitude_damping,0.0,0,0.87225,0.8895979271857561,0.87225,0.843765721749261,20.155464,trained_classifier
angle,amplitude_damping,0.0,1,0.87225,0.8895979271857561,0.87225,0.843765721749261,20.408815,trained_classifier
angle,amplitude_damping,0.0,2,0.87225,0.8895979271857561,0.87225,0.843765721749261,21.387781,trained_classifier
basis,amplitude_damping,0.0,0,0.813,0.6609689999999999,0.813,0.7291439602868175,27.859065,trained_classifier
basis,amplitude_damping,0.0,1,0.813,0.6609689999999999,0.813,0.7291439602868175,27.84192,trained_classifier
basis,amplitude_damping,0.0,2,0.813,0.6609689999999999,0.813,0.7291439602868175,27.90051,trained_classifier
amplitude,amplitude_damping,0.001,0,0.88525,0.8980367666232073,0.88525,0.8640665881953119,38.692022,trained_classifier
amplitude,amplitude_damping,0.001,1,0.88525,0.8980367666232073,0.88525,0.8640665881953119,41.954663,trained_classifier
amplitude,amplitude_damping,0.001,2,0.88525,0.8980367666232073,0.88525,0.8640665881953119,39.455169,trained_classifier
angle,amplitude_damping,0.001,0,0.8755,0.8920336,0.8755,0.8488647526415299,28.037679,trained_classifier
angle,amplitude_damping,0.001,1,0.8755,0.8920336,0.8755,0.8488647526415299,28.832531,trained_classifier
angle,amplitude_damping,0.001,2,0.8755,0.8920336,0.8755,0.8488647526415299,29.891893,trained_classifier
basis,amplitude_damping,0.001,0,0.813,0.6609689999999999,0.813,0.7291439602868175,34.612534,trained_classifier
basis,amplitude_damping,0.001,1,0.813,0.6609689999999999,0.813,0.7291439602868175,34.880721,trained_classifier
basis,amplitude_damping,0.001,2,0.813,0.6609689999999999,0.813,0.7291439602868175,34.424258,trained_classifier
amplitude,amplitude_damping,0.01,0,0.96325,0.9630249886841387,0.96325,0.9623579653912216,46.194898,trained_classifier
amplitude,amplitude_damping,0.01,1,0.96325,0.9630249886841387,0.96325,0.9623579653912216,39.771696,trained_classifier
amplitude,amplitude_damping,0.01,2,0.96325,0.9630249886841387,0.96325,0.9623579653912216,40.697642,trained_classifier
angle,amplitude_damping,0.01,0,0.907,0.9162300287192612,0.907,0.894223158181962,28.034978,trained_classifier
angle,amplitude_damping,0.01,1,0.907,0.9162300287192612,0.907,0.894223158181962,28.090128,trained_classifier
angle,amplitude_damping,0.01,2,0.907,0.9162300287192612,0.907,0.894223158181962,28.229112,trained_classifier
basis,amplitude_damping,0.01,0,0.813,0.6609689999999999,0.813,0.7291439602868175,34.339518,trained_classifier
basis,amplitude_damping,0.01,1,0.813,0.6609689999999999,0.813,0.7291439602868175,34.247599,trained_classifier
basis,amplitude_damping,0.01,2,0.813,0.6609689999999999,0.813,0.7291439602868175,34.44017,trained_classifier
amplitude,amplitude_damping,0.05,0,0.41275,0.8581649983855344,0.41275,0.4261335204893598,51.252622,trained_classifier
amplitude,amplitude_damping,0.05,1,0.41275,0.8581649983855344,0.41275,0.4261335204893598,50.326041,trained_classifier
amplitude,amplitude_damping,0.05,2,0.41275,0.8581649983855344,0.41275,0.4261335204893598,50.02841,trained_classifier
angle,amplitude_damping,0.05,0,0.553,0.8675713176650217,0.553,0.5900183373334688,28.271922,trained_classifier
angle,amplitude_damping,0.05,1,0.553,0.8675713176650217,0.553,0.5900183373334688,28.236638,trained_classifier
angle,amplitude_damping,0.05,2,0.553,0.8675713176650217,0.553,0.5900183373334688,28.072294,trained_classifier
basis,amplitude_damping,0.05,0,0.813,0.6609689999999999,0.813,0.7291439602868175,34.608088,trained_classifier
basis,amplitude_damping,0.05,1,0.813,0.6609689999999999,0.813,0.7291439602868175,34.481527,trained_classifier
