noise_type,noise_level,encoding,accuracy_mean,accuracy_std,sample_size
depolarizing,0.0,amplitude,0.8972,0.0,3
depolarizing,0.0,angle,0.8722,0.0,3
depolarizing,0.0,basis,0.813,0.0,3
depolarizing,0.001,amplitude,0.9155,0.0,3
depolarizing,0.001,angle,0.8738,0.0,3
depolarizing,0.001,basis,0.813,0.0,3
depolarizing,0.01,amplitude,0.9658,0.0,3
depolarizing,0.01,angle,0.896,0.0,3
depolarizing,0.01,basis,0.813,0.0,3
depolarizing,0.05,amplitude,0.3288,0.0,3
depolarizing,0.05,angle,0.9025,0.0,3
depolarizing,0.05,basis,0.813,0.0,3
amplitude_damping,0.0,amplitude,0.8972,0.0,3
amplitude_damping,0.0,angle,0.8722,0.0,3
amplitude_damping,0.0,basis,0.813,0.0,3
amplitude_damping,0.001,amplitude,0.8852,0.0,3
amplitude_damping,0.001,angle,0.8755,0.0,3
amplitude_damping,0.001,basis,0.813,0.0,3
amplitude_damping,0.01,amplitude,0.9632,0.0,3
amplitude_damping,0.01,angle,0.907,0.0,3
amplitude_damping,0.01,basis,0.813,0.0,3
amplitude_damping,0.05,amplitude,0.4128,0.0,3
amplitude_damping,0.05,angle,0.553,0.0,3
amplitude_damping,0.05,basis,0.813,0.0,3
thermal_relaxation,0.0,amplitude,0.8972,0.0,3
thermal_relaxation,0.0,angle,0.8722,0.0,3
thermal_relaxation,0.0,basis,0.813,0.0,3
thermal_relaxation,0.001,amplitude,0.8982,0.0,3
thermal_relaxation,0.001,angle,0.88,0.0,3
thermal_relaxation,0.001,basis,0.813,0.0,3
thermal_relaxation,0.01,amplitude,0.8982,0.0,3
thermal_relaxation,0.01,angle,0.881,0.0,3
thermal_relaxation,0.01,basis,0.813,0.0,3
thermal_relaxation,0.05,amplitude,0.901,0.0,3
thermal_relaxation,0.05,angle,0.882,0.0,3
thermal_relaxation,0.05,basis,0.813,0.0,3
